Date,1. open,2. high,3. low,4. close,5. volume
2025-03-12,1688.85,1719.0,1688.85,1711.85,884523.0
2025-03-11,1684.3,1694.4,1670.3,1684.95,118232.0
2025-03-10,1688.35,1699.4,1683.0,1687.05,150454.0
2025-03-07,1686.95,1700.9,1677.35,1689.35,320468.0
2025-03-06,1688.95,1700.0,1672.6,1689.75,268369.0
2025-03-05,1705.0,1710.65,1688.3,1689.75,256085.0
2025-03-04,1699.0,1714.7,1694.45,1711.15,334001.0
2025-03-03,1735.25,1743.0,1694.15,1701.25,198233.0
2025-02-28,1681.3,1736.8,1681.3,1731.1,387232.0
2025-02-27,1683.55,1710.0,1683.55,1699.45,341742.0
2025-02-25,1672.0,1688.0,1672.0,1683.6,845599.0
2025-02-24,1680.1,1684.5,1661.6,1675.75,166249.0
2025-02-21,1683.15,1694.8,1677.8,1691.55,106892.0
2025-02-20,1715.05,1715.1,1685.0,1686.4,265310.0
2025-02-19,1718.65,1737.9,1713.05,1726.95,59133.0
2025-02-18,1715.0,1731.6,1706.35,1722.5,131530.0
2025-02-17,1686.05,1720.0,1681.05,1717.25,200455.0
2025-02-14,1700.05,1700.35,1679.55,1695.0,460544.0
2025-02-13,1699.95,1714.0,1693.65,1697.75,84193.0
2025-02-12,1691.0,1711.6,1681.55,1707.05,143452.0
2025-02-11,1706.0,1710.55,1688.2,1699.9,395827.0
2025-02-10,1715.3,1723.75,1708.9,1715.4,189950.0
2025-02-07,1750.55,1767.4,1725.1,1732.1,368361.0
2025-02-06,1735.35,1747.45,1724.05,1744.7,166115.0
2025-02-05,1731.05,1744.0,1718.7,1737.5,229559.0
2025-02-04,1690.0,1726.0,1680.2,1722.25,333378.0
2025-02-03,1670.0,1686.65,1665.05,1680.15,116425.0
2025-02-01,1697.05,1712.6,1676.25,1689.85,246614.0
2025-01-31,1688.95,1703.75,1684.05,1699.25,1956949.0
2025-01-30,1677.35,1696.3,1673.55,1692.1,81098.0
2025-01-29,1675.0,1681.3,1668.85,1677.1,166662.0
2025-01-28,1644.0,1684.0,1644.0,1670.55,425286.0
2025-01-27,1640.0,1641.6,1626.4,1629.7,87143.0
2025-01-24,1663.95,1670.65,1645.0,1649.55,197152.0
2025-01-23,1682.7,1685.0,1651.75,1664.8,1839586.0
2025-01-22,1644.95,1671.85,1625.3,1665.05,1337581.0
2025-01-21,1660.0,1660.45,1632.75,1641.75,1175585.0
2025-01-20,1632.95,1660.75,1628.0,1651.25,258901.0
2025-01-17,1644.95,1650.15,1628.75,1636.7,183424.0
2025-01-16,1655.75,1660.0,1643.25,1652.75,61998.0
2025-01-15,1658.0,1662.65,1636.25,1642.75,73210.0
2025-01-14,1635.0,1656.25,1635.0,1644.25,460142.0
2025-01-13,1640.0,1646.45,1624.25,1630.1,769153.0
2025-01-10,1670.0,1675.0,1654.15,1657.15,633334.0
2025-01-09,1689.65,1689.65,1658.85,1667.75,165421.0
2025-01-08,1711.0,1712.05,1683.0,1694.15,251904.0
2025-01-07,1710.35,1721.45,1700.0,1714.1,264321.0
2025-01-06,1739.9,1757.45,1705.0,1710.3,1741889.0
2025-01-03,1794.8,1794.8,1746.3,1749.3,402803.0
2025-01-02,1780.5,1803.0,1774.1,1793.35,79075.0
2025-01-01,1775.0,1794.4,1762.0,1782.45,110695.0
2024-12-31,1770.05,1781.35,1768.0,1772.45,107155.0
2024-12-30,1794.95,1815.0,1771.35,1778.7,292506.0
2024-12-27,1790.25,1803.0,1789.5,1797.85,218692.0
2024-12-26,1797.5,1811.4,1781.75,1791.75,104648.0
2024-12-24,1803.95,1806.15,1789.1,1797.65,196465.0
2024-12-23,1780.0,1805.9,1780.0,1801.0,143342.0
2024-12-20,1787.95,1797.35,1766.9,1772.05,249342.0
2024-12-19,1795.05,1800.2,1779.0,1793.45,186084.0
2024-12-18,1832.5,1835.65,1807.45,1811.2,102823.0
2024-12-17,1856.05,1862.25,1826.35,1832.85,104055.0
2024-12-16,1863.0,1870.0,1855.1,1864.8,133759.0
2024-12-13,1855.2,1874.55,1829.0,1872.05,228126.0
2024-12-12,1849.95,1868.65,1849.35,1858.95,150771.0
2024-12-11,1865.0,1871.05,1857.0,1863.7,66488.0
2024-12-10,1870.25,1875.0,1858.65,1868.05,79717.0
2024-12-09,1853.05,1880.0,1849.55,1869.8,298070.0
2024-12-06,1859.75,1864.15,1843.7,1856.5,308836.0
2024-12-05,1862.0,1879.0,1835.9,1863.8,204004.0
2024-12-04,1838.0,1865.0,1831.2,1860.05,470447.0
2024-12-03,1819.9,1837.0,1816.4,1826.85,292413.0
2024-12-02,1797.65,1808.0,1775.0,1804.55,177517.0
2024-11-29,1794.05,1804.25,1783.1,1797.65,473090.0
2024-11-28,1818.0,1836.05,1788.0,1792.9,215760.0
2024-11-27,1787.15,1817.2,1785.3,1811.0,220040.0
2024-11-26,1800.0,1804.1,1770.0,1785.4,223498.0
2024-11-25,1779.0,1801.9,1765.0,1784.6,1236300.0
2024-11-22,1740.15,1753.8,1729.3,1745.95,437651.0
2024-11-21,1756.05,1758.75,1733.7,1741.95,182127.0
2024-11-19,1715.05,1753.65,1704.0,1742.25,198285.0
2024-11-18,1706.2,1718.8,1694.6,1704.5,390479.0
2024-11-14,1674.95,1704.6,1674.0,1693.1,418478.0
2024-11-13,1711.3,1729.0,1672.5,1681.25,379694.0
2024-11-12,1767.2,1773.25,1708.8,1718.35,320337.0
